,gene,score
0,CNTNAP2,0.888068834
1,DMD,0.733149351
2,LSAMP,0.704326372
3,CSMD1,0.684488847
4,LRRC4C,0.665929534
5,PCDH15,0.656618425
6,RBFOX1,0.655550747
7,PTPRD,0.655503611
8,CTNNA3,0.633518749
9,LRP1B,0.618133299
10,DLG2,0.592832226
11,EYS,0.547926263
12,DPP10,0.524084682
13,CTNND2,0.493287628
14,ROBO2,0.491053599
15,CSMD3,0.485285775
16,MAGI2,0.461164626
17,CDH18,0.459489465
18,GPC5,0.450951174
19,CTNNA2,0.440616679
20,ERBB4,0.437221462
21,SGCZ,0.419003731
22,CNTN5,0.417239278
23,PTPRT,0.410755452
24,GRID2,0.397266828
25,DCC,0.373031969
26,NDEL1,0.356422729
27,KCNIP4,0.356204524
28,ROBO1,0.352769303
29,MYC,0.341546043
30,CDH12,0.339541364
31,NRXN1,0.335564739
32,CADM2,0.33273023
33,BAI3,0.330693864
34,NRXN3,0.322950245
35,CCSER1,0.320073818
36,NRG3,0.311774181
37,MACROD2,0.298773752
38,EPHA6,0.29664408
39,LPHN3,0.294293819
40,OPCML,0.288551028
41,NRG1,0.287139743
42,AGBL4,0.28502318
43,CNTN4,0.279550017
44,DAB1,0.278897719
45,PGC,0.278579351
46,GRIK2,0.2758603
47,NANOG,0.275773795
48,ZNF385D,0.270673602
49,NKAIN2,0.266937776
50,GPC6,0.259655531
51,ACACA,0.2586592
52,CNTNAP5,0.25798385
53,GALNT13,0.251005212
54,GRM8,0.250126344
55,SNTG1,0.246654176
56,CDH13,0.245977701
57,SPAG16,0.241086758
58,CACNA2D3,0.240054696
59,MGAT4C,0.239391873
60,1-Mar,0.238272142
61,NTM,0.235852821
62,GALNTL6,0.235688641
63,AGBL1,0.224279455
64,NELL1,0.222245776
65,ANKS1B,0.222073648
66,PRKG1,0.221899471
67,SVEP1,0.221640645
68,PARK2,0.219854412
69,RIMS2,0.218208591
70,ASIC2,0.217987912
71,APP,0.21432779
72,LRRTM4,0.212624301
73,IL1RAPL1,0.212277774
74,EPHA3,0.21201501
75,NAP1L3,0.211771851
76,FHIT,0.211258757
77,HDAC9,0.209898156
78,IL1RAPL2,0.208528313
79,FAM155A,0.208106453
80,ERC2,0.207048176
81,ASIC1,0.206041335
82,ASTN2,0.20579443
83,KHDRBS2,0.202185859
84,GRM7,0.201621894
85,LINGO2,0.19846952
86,RIMS1,0.197351553
87,LNX1,0.196865296
88,PTPRN2,0.196571118
89,FSTL5,0.195578774
90,EGFR,0.195427146
91,SYT15,0.195256754
92,ASTN1,0.195131571
93,PCDH9,0.193781424
94,GRIA1,0.19377904
95,SMARCB1,0.189977815
96,NEGR1,0.189066684
97,DPYD,0.187275745
98,DSCAM,0.186617704
99,AUTS2,0.1856783
100,RGS7,0.184726873
101,XKR4,0.184489631
102,STPG2,0.183262926
103,WBSCR17,0.182888121
104,TMEM132D,0.180982225
105,DLG4,0.180856667
106,SORCS3,0.180201636
107,CDH7,0.176718443
108,FMN2,0.173328963
109,RALYL,0.172041207
110,HS6ST3,0.17085735
111,SYT1,0.169559186
112,NUP160,0.169533134
113,WWOX,0.168958931
114,TBC1D5,0.167606855
115,MDGA2,0.167354447
116,CADPS2,0.166344322
117,CNBD1,0.165008262
118,NPAS3,0.165004414
119,DTNB,0.164261529
120,KIRREL3,0.163638662
121,CNTN1,0.162348163
122,UNC5D,0.161890681
123,DTNA,0.161846408
124,ALK,0.161478416
125,MAGI1,0.160510128
126,MPP7,0.159386281
127,FGF12,0.159316051
128,NCAM2,0.158522212
129,SDK1,0.158348307
130,RYR2,0.157729645
131,DIAPH2,0.157693671
132,PDE4D,0.157230711
133,KCND2,0.15706504
134,UNC13C,0.156630864
135,PEAR1,0.156357022
136,HSP90AB1,0.156347563
137,PLXDC2,0.154787193
138,DISC1,0.154776359
139,RGS6,0.15422074
140,MYT1L,0.154157631
141,PPP2R2B,0.15371922
142,MFGE8,0.153108558
143,GPM6A,0.152727516
144,PPFIA2,0.152605171
145,GNAO1,0.152570818
146,PDE1C,0.152391573
147,FAM19A1,0.151533587
148,CDH4,0.151435791
149,CALN1,0.151240065
150,DLGAP1,0.150806531
151,CPNE4,0.150318991
152,ATRNL1,0.149961935
153,LUZP2,0.149870284
154,SGCD,0.1489053
155,DACH2,0.148481968
156,NLGN1,0.148462692
157,DNM3,0.148229002
158,GRIA3,0.148108664
159,UBQLN1,0.147887273
160,IMMP2L,0.147068933
161,STX12,0.146432954
162,USH2A,0.14595788
163,DGKB,0.14591547
164,GRB2,0.145755653
165,NBEA,0.145584364
166,DOCK3,0.145429431
167,SLIT3,0.144309188
168,KIAA1217,0.143696236
169,ARHGEF9,0.143134469
170,NALCN,0.143066377
171,SOX5,0.142443916
172,NAALADL2,0.142292029
173,ARHGAP15,0.142172279
174,OLFM3,0.141915462
175,IQCJ-SCHIP1,0.141913758
176,DSE,0.141147802
177,ZFPM2,0.139870222
178,GRM3,0.139817991
179,ZNF804B,0.139660764
180,EPHA8,0.13962536
181,CA10,0.139395731
182,MAPK10,0.139208087
183,HS3ST4,0.139145804
184,CDH8,0.139001759
185,NKAIN3,0.138874294
186,PLCB1,0.13782156
187,JAKMIP2,0.137217697
188,HLA-DRB1,0.136883675
189,FGF14,0.136787633
190,FOXP2,0.136734015
191,PATL1,0.136698349
192,CLSTN2,0.136534831
193,BTBD9,0.136216116
194,JPH4,0.136067014
195,KCNB2,0.135719298
196,SPOCK1,0.135376204
197,HCN1,0.13513744
198,DCLK2,0.134955341
199,SORCS1,0.134934787
200,TENM4,0.134927842
201,EPHA2,0.134806773
202,CACNA1A,0.134634991
203,MECOM,0.134351588
204,NTRK3,0.133947821
205,APBB1,0.133869613
206,PID1,0.133828335
207,KIAA0319L,0.133749429
208,GABRG3,0.132983331
209,RBMS3,0.132946981
210,MAP1A,0.132667773
211,KAL1,0.131970276
212,SYT11,0.131817207
213,TNIK,0.131238788
214,CSMD2,0.131077353
215,CALM1,0.13098361
216,STOM,0.1301965
217,SPOCK3,0.129886843
218,ESRRG,0.129805071
219,CACNA1C,0.12954376
220,PEA15,0.129332941
221,SNTG2,0.128472466
222,KALRN,0.128127823
223,DNER,0.128069589
224,PLCL1,0.128054809
225,CDK14,0.127968653
226,FAM19A2,0.127965577
227,ANK3,0.127900074
228,PLXNA4,0.127523076
229,APC,0.127351025
230,MCTP1,0.126968089
231,BSN,0.126650692
232,STXBP5L,0.126501269
233,EML1,0.126398458
234,LPHN2,0.126254883
235,MYO16,0.126184498
236,SV2A,0.125559927
237,PRKACA,0.1253547
238,CPA6,0.125061954
239,FAM171B,0.124845263
240,HECW2,0.124411363
241,GRIN2A,0.124229966
242,MACF1,0.124002379
243,CHRM3,0.123910683
244,CTNNB1,0.123656721
245,PARD3B,0.123167551
246,TRPM3,0.122878454
247,PRKCB,0.122624593
248,DOCK2,0.12252569
249,SCAMP5,0.122298385
250,PXDNL,0.122177616
251,DCDC1,0.122159635
252,KCNQ3,0.122131219
253,GRM5,0.122100736
254,DNAJC6,0.121745362
255,YWHAZ,0.121634967
256,GPC3,0.121576848
257,NOTCH1,0.121103422
258,KCNT2,0.121058396
259,ATP8A2,0.120658257
260,TMEM59L,0.120313256
261,NCKAP5,0.120218241
262,ZNF331,0.120192598
263,TENM3,0.119973931
264,LRFN5,0.119952199
265,KIF1A,0.119922537
266,PRKAR2B,0.119871537
267,DACH1,0.119774246
268,FGF13,0.11929396
269,PCLO,0.119212964
270,GABRB3,0.119038337
271,CACNA2D1,0.118994556
272,PLAT,0.118961836
273,GRID1,0.118951906
274,QKI,0.118948028
275,PCSK5,0.118612275
276,TSHZ2,0.118570939
277,PAPPA2,0.118297208
278,POU6F2,0.118296841
279,CACNA1E,0.118244307
280,GPM6B,0.118195823
281,CDH9,0.117792901
282,KCNQ5,0.117756617
283,KCNH5,0.117744624
284,EDIL3,0.117646944
285,GNAQ,0.117425274
286,DLG1,0.117382122
287,SEMA6D,0.117363029
288,LRRC7,0.117161825
289,CAMTA1,0.117054648
290,C6,0.116882917
291,ANK2,0.116614498
292,ELMO1,0.116488758
293,KCNH7,0.116438795
294,IFI30,0.116350696
295,CAMK1D,0.116278314
296,MAPK8IP1,0.115897943
297,RUNDC3A,0.11586379
298,CELF5,0.115610921
299,TPK1,0.115517091
300,EPHB1,0.115406941
301,HSPB11,0.11524005
302,MRE11A,0.115045196
303,RELN,0.114792475
304,LRPAP1,0.114453582
305,SCGB1D1,0.114384211
306,PIK3C2G,0.114263162
307,SH3GL2,0.114181077
308,ADCY2,0.114172312
309,KIF3A,0.114085701
310,RTN1,0.113446505
311,FYN,0.113426606
312,PXDN,0.113339285
313,SLIT2,0.113202876
314,PTPRM,0.113061631
315,SLC8A1,0.112930774
316,ATXN1,0.112882583
317,EPHA5,0.112841229
318,MAP2,0.112796115
319,LAMA2,0.112608156
320,HSP90AA1,0.112540812
321,PDE3A,0.112485872
322,PFN1,0.112421205
323,DGKI,0.112325747
324,DLG3,0.112251676
325,ESR1,0.112090816
326,NRXN2,0.112021419
327,TMEM132B,0.111768634
328,B3GAT1,0.111722324
329,GRIA4,0.111688044
330,HPSE2,0.111461961
331,CNRIP1,0.111192832
332,FRMPD4,0.111060344
333,ZNF804A,0.110886713
334,VAMP2,0.110862052
335,TNR,0.110837035
336,TRHDE,0.110801541
337,GNGT1,0.110785258
338,ATP6V1G2,0.110775134
339,HEATR2,0.110726566
340,MSR1,0.110668505
341,KCNMA1,0.110625384
342,NELL2,0.110466391
343,MTUS2,0.110447056
344,APBA2,0.110310363
345,INPP4B,0.110301662
346,KCNS3,0.110168768
347,KCNH1,0.110154359
348,PACRG,0.110111177
349,SLC44A5,0.109923159
350,ZMAT4,0.109804682
351,SLC35F3,0.109756121
352,FRMD4A,0.109745951
353,TENM1,0.109742055
354,THSD4,0.109685014
355,EBF1,0.109545304
356,PRKCA,0.109528837
357,GATS,0.109515936
358,SKIL,0.109451872
359,APC2,0.109422318
360,UNC80,0.109254
361,PREX2,0.109190345
362,SUMF1,0.109102887
363,GLI3,0.109068095
364,SYP,0.10897825
365,DOK6,0.108874331
366,TCF4,0.108793696
367,CDH10,0.108612143
368,GPR158,0.10857141
369,RIT2,0.108537062
370,PCYT1B,0.108262753
371,UBC,0.108201159
372,EXOC4,0.108032692
